exp_name,time,record_id,num_srcs,src_ids,doas_est_idx,doas_ref_idx,doas_ref_az,doas_est_az,doas_ref_el,doas_est_el,errors,frame_id,target_doa,n_sources,duration,snr,noise_type,add_reverberation,mc_seed,method_id,loc_method,freq_min,freq_max,sv_method,nObs,seed,sv_normalization,ang_error,method_extended
"exp-1_nSrc-1_doas-[0]_type-speech-duration-0.5-snr--10_noise-awgn_reverb-False_mc-0_srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",20250307-160908,s0,1,0,0,0,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,nSrc-1_doas-[0]_type-speech-duration-0.5-snr--10_noise-awgn_reverb-False_mc-0,"[1.5707963267948966, 0.0]",1,0.5,-10,awgn,False,0,"srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",srp_phat,200,4000,ref,8,13,True,0.0,ref_8
"exp-1_nSrc-1_doas-[0]_type-speech-duration-0.5-snr-0_noise-awgn_reverb-False_mc-0_srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",20250307-160920,s0,1,0,0,0,0.0,0.0,1.5707963267948966,1.5707963267948966,0.0,nSrc-1_doas-[0]_type-speech-duration-0.5-snr-0_noise-awgn_reverb-False_mc-0,"[1.5707963267948966, 0.0]",1,0.5,0,awgn,False,0,"srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",srp_phat,200,4000,ref,8,13,True,0.0,ref_8
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1_srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",20250307-155230,s0,1,0,1,57,5.969026041820607,0.1047197551196597,1.5707963267948966,1.5707963267948966,0.418879020478639,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-30,awgn,False,1,"srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",srp_phat,200,4000,ref,8,13,True,24.0,ref_8
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--20_noise-awgn_reverb-False_mc-1_srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",20250307-155242,s0,1,0,57,57,5.969026041820607,5.969026041820607,1.5707963267948966,1.5707963267948966,0.0,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--20_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-20,awgn,False,1,"srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",srp_phat,200,4000,ref,8,13,True,0.0,ref_8
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr--10_noise-awgn_reverb-False_mc-1_srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",20250307-155253,s0,1,0,57,57,5.969026041820607,5.969026041820607,1.5707963267948966,1.5707963267948966,0.0,nSrc-1_doas-[57]_type-speech-duration-0.5-snr--10_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,-10,awgn,False,1,"srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",srp_phat,200,4000,ref,8,13,True,0.0,ref_8
"exp-1_nSrc-1_doas-[57]_type-speech-duration-0.5-snr-0_noise-awgn_reverb-False_mc-1_srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",20250307-155304,s0,1,0,57,57,5.969026041820607,5.969026041820607,1.5707963267948966,1.5707963267948966,0.0,nSrc-1_doas-[57]_type-speech-duration-0.5-snr-0_noise-awgn_reverb-False_mc-1,"[1.5707963267948966, 5.969026041820607]",1,0.5,0,awgn,False,1,"srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",srp_phat,200,4000,ref,8,13,True,0.0,ref_8
"exp-1_nSrc-1_doas-[5]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-4_srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",20250307-160610,s0,1,0,6,5,0.5235987755982988,0.6283185307179586,1.5707963267948966,1.5707963267948966,0.1047197551196598,nSrc-1_doas-[5]_type-speech-duration-0.5-snr--30_noise-awgn_reverb-False_mc-4,"[1.5707963267948966, 0.5235987755982988]",1,0.5,-30,awgn,False,4,"srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",srp_phat,200,4000,ref,8,13,True,6.0000000000000036,ref_8
"exp-1_nSrc-1_doas-[5]_type-speech-duration-0.5-snr--20_noise-awgn_reverb-False_mc-4_srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",20250307-160622,s0,1,0,6,5,0.5235987755982988,0.6283185307179586,1.5707963267948966,1.5707963267948966,0.1047197551196598,nSrc-1_doas-[5]_type-speech-duration-0.5-snr--20_noise-awgn_reverb-False_mc-4,"[1.5707963267948966, 0.5235987755982988]",1,0.5,-20,awgn,False,4,"srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",srp_phat,200,4000,ref,8,13,True,6.0000000000000036,ref_8
"exp-1_nSrc-1_doas-[5]_type-speech-duration-0.5-snr--10_noise-awgn_reverb-False_mc-4_srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",20250307-160634,s0,1,0,5,5,0.5235987755982988,0.5235987755982988,1.5707963267948966,1.5707963267948966,0.0,nSrc-1_doas-[5]_type-speech-duration-0.5-snr--10_noise-awgn_reverb-False_mc-4,"[1.5707963267948966, 0.5235987755982988]",1,0.5,-10,awgn,False,4,"srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",srp_phat,200,4000,ref,8,13,True,0.0,ref_8
"exp-1_nSrc-1_doas-[5]_type-speech-duration-0.5-snr-0_noise-awgn_reverb-False_mc-4_srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",20250307-160645,s0,1,0,5,5,0.5235987755982988,0.5235987755982988,1.5707963267948966,1.5707963267948966,0.0,nSrc-1_doas-[5]_type-speech-duration-0.5-snr-0_noise-awgn_reverb-False_mc-4,"[1.5707963267948966, 0.5235987755982988]",1,0.5,0,awgn,False,4,"srp_phat_freqs-[200, 4000]_ref_nObs-8_seed-13_norm-True",srp_phat,200,4000,ref,8,13,True,0.0,ref_8
